"gene"	"ncpgs_orig"	"ncpgs"	"treatment.ratio"	"converged"	"p.value.treatment"	"p.value.inter"	"adj.p.value.treatment"	"adj.p.value.inter"
"SpisGene1"	64	64	0.887443933497492	1	0.480361011706092	3.12230716086213e-06	1	0.000322939937843563
"SpisGene2"	27	27	1.09945232502336	1	0.0602313127876396	0.0012636521501545	0.219630951769623	0.0432967131447674
"SpisGene3"	111	110	1.02082288863166	1	0.0376731339915404	1	0.159742748614704	1
"SpisGene4"	156	155	1.04679043938344	1	1.18189308503101e-06	1	7.43182430229443e-05	1
"SpisGene5"	181	169	0.975967804557206	1	0.93927858313052	1	1	1
"SpisGene6"	39	39	1	1	1	1	1	1
"SpisGene8"	96	84	1	1	1	1	1	1
"SpisGene12"	30	28	1	1	1	1	1	1
"SpisGene14"	126	125	1.02736559581503	1	0.00224477308259509	1	0.0222009863316173	1
"SpisGene15"	48	44	1	1	1	1	1	1
"SpisGene19"	54	54	1	1	1	1	1	1
"SpisGene20"	181	172	1.03463378399432	1	8.39016432724395e-10	1	1.65810622517159e-07	1
"SpisGene21"	52	52	1.03317585877356	1	0.00297128470705442	1	0.0271762048371663	1
"SpisGene22"	205	201	1.01139652828561	1	0.439480159966561	1	1	1
"SpisGene23"	95	89	1	1	1	1	1	1
"SpisGene24"	109	109	1	1	1	1	1	1
"SpisGene25"	8	8	1	1	1	1	1	1
"SpisGene26"	25	24	1.09032119095387	1	0.0812249093244416	1	0.269519075668583	1
"SpisGene27"	59	59	1.02988384215909	1	0.10698952396694	1	0.328794689667143	1
"SpisGene28"	155	149	1	1	1	1	1	1
"SpisGene29"	78	77	1	1	1	1	1	1
"SpisGene30"	127	119	1	1	1	1	1	1
"SpisGene31"	451	449	1.01401029099012	1	0.0022978990161835	1	0.0226253099751804	1
"SpisGene33"	60	60	1	1	1	1	1	1
"SpisGene34"	63	60	1.14271962167513	1	5.29437964379282e-05	1	0.00144673825970013	1
"SpisGene40"	121	116	1.0241261146272	1	0.0455683410578111	1	0.182719141480723	1
"SpisGene43"	146	146	1.0441548218986	1	0.000371865396511357	1	0.00632171174069307	1
"SpisGene44"	106	102	1.02511975622774	1	0.000217208763114988	1	0.00428766195776814	1
"SpisGene48"	40	37	1	1	1	1	1	1
"SpisGene50"	60	58	1	1	1	1	1	1
"SpisGene51"	59	59	1	1	1	1	1	1
"SpisGene52"	278	278	1.01487728790266	1	0.00589473132565261	1	0.0444999942571606	1
"SpisGene53"	30	29	1	1	1	1	1	1
"SpisGene54"	269	261	1	1	1	1	1	1
"SpisGene55"	25	21	0.955747685216968	1	0.077550223771925	1	0.260075250449665	1
"SpisGene56"	140	140	1.0271355495099	1	0.000918870316676093	1	0.0119636915231227	1
"SpisGene59"	34	33	0.958274717221163	1	0.161613889921954	1	0.444744867907899	1
"SpisGene61"	55	51	1.03594670361233	1	8.02420228186246e-05	1	0.00197341881451937	1
"SpisGene63"	115	114	1	1	1	1	1	1
"SpisGene64"	76	75	1	1	1	1	1	1
"SpisGene65"	83	81	1	1	1	1	1	1
"SpisGene67"	16	15	0.96671391654484	1	0.0970151222908119	1	0.306098901001375	1
"SpisGene68"	329	329	1	1	1	1	1	1
"SpisGene69"	18	18	1.03261683080596	1	0.243712548257957	1	0.623190104337062	1
"SpisGene72"	39	39	0.938872950172884	1	0.00198472378567405	1	0.020489681097066	1
"SpisGene74"	14	11	1	1	1	1	1	1
"SpisGene79"	75	74	1	1	1	1	1	1
"SpisGene80"	23	22	1	1	1	1	1	1
"SpisGene81"	123	122	1.0543550779811	1	4.89937807154198e-06	1	0.000239917774857323	1
"SpisGene83"	63	56	0.940811067601804	1	0.00745127758243071	1	0.052793398850679	1
"SpisGene85"	73	68	0.853686637752584	1	2.26238709849223e-11	1	6.41995846641373e-09	1
"SpisGene86"	80	80	1	1	1	1	1	1
"SpisGene87"	17	16	1.02669474846206	1	0.79492684041702	0.00370888783214614	1	0.107170395922614
"SpisGene88"	39	38	1	1	1	1	1	1
"SpisGene90"	26	22	1	1	1	1	1	1
"SpisGene91"	57	57	1	1	1	1	1	1
"SpisGene93"	86	85	1	1	1	1	1	1
"SpisGene94"	191	191	1	1	1	1	1	1
"SpisGene95"	39	37	0.952734869509803	1	0.329852800511608	1	0.80709284617775	1
"SpisGene99"	16	16	1	1	1	1	1	1
"SpisGene100"	63	62	0.926482486892368	1	4.58855825820872e-06	1	0.000229780878930298	1
"SpisGene111"	30	28	1	1	1	1	1	1
"SpisGene112"	8	8	0.892671349458428	1	0.000727789120625505	1	0.0101186459773398	1
"SpisGene114"	22	20	1	1	1	1	1	1
"SpisGene115"	20	20	1	1	1	1	1	1
"SpisGene116"	108	92	1.04555057326267	1	0.00206744817272491	1	0.0210112930897882	1
"SpisGene117"	61	58	1	1	1	1	1	1
"SpisGene118"	16	8	1	1	1	1	1	1
"SpisGene122"	158	158	1	1	1	1	1	1
"SpisGene123"	72	62	1	1	1	1	1	1
"SpisGene124"	44	44	1	1	1	1	1	1
"SpisGene125"	171	147	1	1	1	1	1	1
"SpisGene127"	93	92	1	1	1	1	1	1
"SpisGene128"	115	110	0.970224649245515	1	0.279512360840127	1	0.69969764700694	1
"SpisGene130"	22	22	1	1	1	1	1	1
"SpisGene131"	44	42	1.0281191266901	1	0.0251517888494394	1	0.122085459296818	1
"SpisGene132"	32	31	1	1	1	1	1	1
"SpisGene134"	42	42	1	1	1	1	1	1
"SpisGene136"	52	52	1	1	1	1	1	1
"SpisGene137"	26	26	1.05845570844723	1	0.0195115472931455	1	0.103317843968058	1
"SpisGene139"	22	22	1.06772111501805	1	0.084003231137121	1	0.27634757353147	1
