gene	7.2A	7.2B	7.2C	7.4A	7.4B	7.4C	7.8A	7.8B	7.8C	8.1A	8.1B	8.1C
SpisGene1	83.97	84.41	83.33	85.36	80.38	80	82.09	80	81.82	78.57	81.25	85.36
SpisGene2	69.23	79.17	60.87	70	60	60	73.33	63.64	70	75	50	40
SpisGene3	81.25	85.71	80	83.33	80	84.21	82.35	82.35	81.25	80	81.82	84.62
SpisGene4	81.82	78.57	82.84	83.33	80	83.33	82.58	80	77.35	77.78	80	78.47
SpisGene5	64.71	64.29	60	62.5	50	55.56	66.67	57.14	56.52	54.55	55.56	60
SpisGene6	80	81.82	80	85.71	80	84.62	82.35	84.21	71.43	85.71	84.62	82.35
SpisGene7	10	11.11	8.33	10	10	5.88	0	8.7	5	8	0	4.35
SpisGene8	78.17	82.84	81.53	78.57	79.47	80.48	82.97	80.48	82.09	81.82	78.57	75
SpisGene9	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene10	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene11	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene12	65.15	75.3	72.95	83.97	77.12	76.62	70	75.29	70.83	63.33	67.71	78.62
SpisGene13	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene14	66.35	73.7	70.42	74.54	68.75	65.11	71.83	72.22	69.62	71.01	64.71	68.59
SpisGene15	63.01	57.28	62.13	61.58	50.93	56.83	44.38	62.02	41.51	48.53	56.95	62.02
SpisGene16	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene17	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene18	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene19	89.18	89.18	87.5	86.19	87.23	86.04	85.64	82.97	90	82.58	86.96	86.67
SpisGene20	72.22	80	80	76.92	73.33	76.92	76.47	70.83	70	72.73	72.22	76.47
SpisGene21	88.89	92.58	90.83	88.24	88.19	87.5	86.97	91.67	88.89	86.61	85.36	88.89
SpisGene22	80	81.25	82.61	84.62	80	81.25	80	80	83.33	78.57	82.35	82.35
SpisGene23	78.26	83.33	85.71	84	78.95	77.78	81.82	80	80	81.82	83.33	80
SpisGene24	81.25	85.71	85	83.33	84.21	80	85.71	81.82	84.62	80	83.33	83.33
SpisGene25	86.61	84.72	63.33	82.91	78.1	63.57	81.18	74.04	78.89	81.67	76.67	80.1
SpisGene26	73.68	76.92	81.82	77.27	81.25	73.68	81.82	80	75	72.73	72.73	77.27
SpisGene27	81.25	83.33	85	83.33	77.78	85.71	83.33	81.25	81.82	73.33	80	81.82
SpisGene28	81.82	86.67	83.33	84.62	80	81.82	79.17	80	84.62	83.33	83.33	80
SpisGene29	81.1	82.84	83.33	83.97	77.78	83.33	80.62	82.58	83.33	82.84	81.82	82.84
SpisGene30	87.5	88	86.67	85.71	84.62	87.5	86.67	85.71	85.71	85.71	86.67	86.67
SpisGene31	88.24	90	88.24	88.89	87.5	87.5	88.89	89.47	88.89	85.71	88.89	87.5
SpisGene32	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene33	83.33	84.21	79.13	74.17	72.11	74.46	75.73	66.67	75	76.92	83.33	68.75
SpisGene34	36.67	41.38	38.89	44.44	45	42.86	42.86	50	43.75	40	37.93	44.44
SpisGene35	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene36	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene37	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene38	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene39	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene40	88.24	86.67	84.62	85.71	85	84.21	84.62	85.71	85.71	80	81.82	85.71
SpisGene41	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene42	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene43	76.92	78.57	78.57	81.25	78.17	78.95	73.51	77.35	78.17	76.92	75.96	71.43
SpisGene44	81.82	83.33	86.52	83.33	83.33	82.84	80	84.31	83.33	80	81.53	83.33
SpisGene45	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene46	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene47	3.25	2.31	3.92	5.63	5.74	7.35	8.49	3.98	1.54	6.69	2.35	5.1
SpisGene48	51.67	54.42	37.8	65.14	46.61	58.82	45.56	57.74	44.51	61.25	48.81	60
SpisGene49	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene50	83.97	83.33	83.33	76.7	82.58	84.96	84.41	83.97	77.78	83.97	87.08	81.29
SpisGene51	88.89	90	88.89	90.91	89.47	92.31	88.89	90.48	88.89	89.47	92.31	85.71
SpisGene52	86.04	88.89	86.81	87.5	87.5	88.89	87.5	88.24	84.62	85.71	87.5	86.67
SpisGene53	84.21	75	84.62	83.33	80.62	86.67	86.06	83.33	74.17	83.22	82.14	85.18
SpisGene54	85.71	87.5	87.5	87.5	84.21	87.5	87.5	86.67	84.62	84.62	86.67	87.5
SpisGene55	76.92	57.14	76.19	80	70	73.33	73.33	57.14	75	73.33	86.67	75
SpisGene56	86.19	84.62	85.36	87.23	82.84	83.97	81.53	85.71	85.71	80	84.62	82.48
SpisGene57	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene58	5.01	3.12	3.33	5.42	5.8	4.02	3.78	4.66	4.79	3.83	4.52	5.13
SpisGene59	83.33	91.88	80.91	78.76	84.41	81.53	75	85.71	70.83	76.92	84.62	88.19
SpisGene60	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene61	86.96	88.89	86.67	88.24	84.62	88.89	85.71	90	87.5	85.71	81.25	84.62
SpisGene62	0	0	0	0	0	0	0	0	0	0	0	0
SpisGene63	88.89	90	90.91	87.5	86.67	86.36	89.47	88.89	86.67	87.5	88.89	88.89
SpisGene64	80	78.17	79.24	73.33	78.42	80.95	81.82	77.78	83.33	81.82	81.1	81.25
SpisGene65	86.67	88.89	89.47	88.89	84.62	87.5	88.24	85.71	87.5	85.71	84.62	85
SpisGene66	2.38	10.84	8.89	6.25	11.11	14.42	11.67	4.76	15.76	13.64	9.19	13.66
SpisGene67	92.31	83.48	89.74	83.33	86.67	88.33	89.44	85.71	86.04	83.97	90.6	86.19
SpisGene68	83.33	84.62	83.33	86.36	83.33	85.71	84.62	83.33	84.62	83.33	85.71	86.36
