Spis580 SpisGene580
Spis17386 SpisGene17386
Spis3771.t1 SpisGene3771
Spis17180 SpisGene17180
Spis10087 SpisGene10087
Spis21236 SpisGene21236
Spis5979 SpisGene5979
Spis6440 SpisGene6440
Spis20403 SpisGene20403
Spis7450 SpisGene7450
Spis18569 SpisGene18569
Spis11907.t1 SpisGene11907
Spis9556 SpisGene9556
Spis14687 SpisGene14687
Spis10161 SpisGene10161
Spis1111 SpisGene1111
Spis3094 SpisGene3094
Spis5084 SpisGene5084
Spis10163 SpisGene10163
Spis7711 SpisGene7711
Spis3937 SpisGene3937
Spis17885 SpisGene17885
Spis22040 SpisGene22040
Spis14682 SpisGene14682
Spis8713 SpisGene8713
Spis7961 SpisGene7961
Spis22984 SpisGene22984
Spis1618 SpisGene1618
Spis4568 SpisGene4568
Spis7396 SpisGene7396
Spis21018 SpisGene21018
Spis2090 SpisGene2090
Spis2086 SpisGene2086
Spis23961 SpisGene23961
Spis15346 SpisGene15346
Spis12535 SpisGene12535
Spis3612.t1 SpisGene3612
Spis18307 SpisGene18307
Spis5433.t1 SpisGene5433
Spis7337 SpisGene7337
Spis2067 SpisGene2067
Spis6794.t2 SpisGene6794
Spis7474 SpisGene7474
Spis9085 SpisGene9085
Spis3129 SpisGene3129
Spis22156 SpisGene22156
Spis8703.t2 SpisGene8703
Spis4611 SpisGene4611
Spis7878 SpisGene7878
Spis20276 SpisGene20276
Spis17390 SpisGene17390
Spis10823 SpisGene10823
Spis20248 SpisGene20248
Spis2598 SpisGene2598
Spis10335 SpisGene10335
Spis8945 SpisGene8945
Spis18301 SpisGene18301
Spis21927 SpisGene21927
Spis2577 SpisGene2577
Spis24473 SpisGene24473
Spis10463 SpisGene10463
Spis16767 SpisGene16767
Spis2593 SpisGene2593
Spis5370 SpisGene5370
Spis5013.t1 SpisGene5013
Spis10717 SpisGene10717
Spis2378 SpisGene2378
Spis8524 SpisGene8524
Spis7033 SpisGene7033
Spis5208 SpisGene5208
Spis9713 SpisGene9713
Spis10365 SpisGene10365
Spis6537 SpisGene6537
Spis20007 SpisGene20007
Spis5237.t1 SpisGene5237
Spis3164 SpisGene3164
Spis10168 SpisGene10168
Spis11266 SpisGene11266
Spis18299 SpisGene18299
Spis6520 SpisGene6520
Spis1819 SpisGene1819
Spis18767 SpisGene18767
Spis13699.t1 SpisGene13699
Spis17415 SpisGene17415
Spis19296 SpisGene19296
Spis23706 SpisGene23706
Spis17392 SpisGene17392
Spis15578 SpisGene15578
Spis5130 SpisGene5130
Spis21619 SpisGene21619
Spis16469 SpisGene16469
Spis3132 SpisGene3132
