	meth pos	observed CpG	expected CpG	CpG bias	meth density	median meth %
SpisGene1	64	178	304.25	0.585	17.98	84.41
SpisGene2	27	172	222.97	0.7714	7.85	79.17
SpisGene3	111	98	308.32	0.3179	56.63	85.71
SpisGene4	156	348	503.29	0.6915	22.41	78.57
SpisGene5	181	790	1282.74	0.6159	11.46	64.29
SpisGene6	39	51	119.59	0.4265	38.24	81.82
SpisGene7	1	566	539.44	1.0492	0.09	11.11
SpisGene8	96	393	572.77	0.6861	12.21	82.84
SpisGene9	0	58	82.73	0.7011	0	0
SpisGene10	0	247	286.2	0.863	0	0
SpisGene11	0	260	270.86	0.9599	0	0
SpisGene12	30	165	293.02	0.5631	9.09	75.3
SpisGene13	0	32	36.84	0.8686	0	0
SpisGene14	126	85	263.4	0.3227	74.12	73.7
SpisGene15	48	351	410.67	0.8547	6.84	57.28
SpisGene16	0	195	188.53	1.0343	0	0
SpisGene17	0	138	167.89	0.822	0	0
SpisGene18	0	130	124.0	1.0484	0	0
SpisGene19	54	96	232.67	0.4126	28.12	89.18
SpisGene20	181	696	970.75	0.717	13.0	80.0
SpisGene21	52	68	177.2	0.3837	38.24	92.58
SpisGene22	205	184	326.98	0.5627	55.71	81.25
SpisGene23	95	386	544.55	0.7088	12.31	83.33
SpisGene24	109	88	283.1	0.3108	61.93	85.71
SpisGene25	8	27	58.74	0.4597	14.81	84.72
SpisGene26	25	1060	1217.31	0.8708	1.18	76.92
SpisGene27	59	136	308.05	0.4415	21.69	83.33
SpisGene28	155	506	631.52	0.8012	15.32	86.67
SpisGene29	78	66	206.4	0.3198	59.09	82.84
SpisGene30	127	922	1130.74	0.8154	6.89	88.0
SpisGene31	451	257	558.55	0.4601	87.74	90.0
SpisGene32	0	121	268.84	0.4501	0	0
SpisGene33	60	49	119.4	0.4104	61.22	84.21
SpisGene34	63	511	598.07	0.8544	6.16	41.38
SpisGene35	0	62	57.92	1.0704	0	0
SpisGene36	0	242	227.83	1.0622	0	0
SpisGene37	0	237	263.89	0.8981	0	0
SpisGene38	0	311	323.28	0.962	0	0
SpisGene39	0	103	127.53	0.8077	0	0
SpisGene40	121	259	471.75	0.549	23.36	86.67
SpisGene41	0	340	401.34	0.8472	0	0
SpisGene42	0	95	112.44	0.8449	0	0
SpisGene43	146	147	324.74	0.4527	49.66	78.57
SpisGene44	106	104	267.92	0.3882	50.96	83.33
SpisGene45	0	54	135.97	0.3971	0	0
SpisGene46	0	251	391.72	0.6408	0	0
SpisGene47	6	297	301.79	0.9841	1.01	2.31
SpisGene48	40	147	201.21	0.7306	13.61	54.42
SpisGene49	0	194	231.56	0.8378	0	0
SpisGene50	60	101	256.25	0.3941	29.7	83.33
SpisGene51	59	51	104.58	0.4877	57.84	90.0
SpisGene52	278	186	424.27	0.4384	74.73	88.89
SpisGene53	30	48	121.38	0.3955	31.25	75.0
SpisGene54	269	375	659.4	0.5687	35.87	87.5
SpisGene55	25	52	89.17	0.5832	24.04	57.14
SpisGene56	140	519	847.17	0.6126	13.49	84.62
SpisGene57	0	48	47.88	1.0025	0	0
SpisGene58	38	136	161.47	0.8423	13.97	3.12
SpisGene59	34	75	193.25	0.3881	22.67	91.88
SpisGene60	0	122	141.9	0.8598	0	0
SpisGene61	55	129	277.21	0.4654	21.32	88.89
SpisGene62	0	86	99.04	0.8683	0	0
SpisGene63	115	104	300.75	0.3458	55.29	90.0
SpisGene64	76	50	131.52	0.3802	76.0	78.17
SpisGene65	83	157	243.23	0.6455	26.43	88.89
SpisGene66	2	52	47.76	1.0888	1.92	10.84
SpisGene67	16	720	838.49	0.8587	1.11	83.48
SpisGene68	329	178	545.4	0.3264	92.42	84.62
SpisGene69	18	49	84.3	0.5813	18.37	81.39
SpisGene70	0	38	58.03	0.6548	0	0
SpisGene71	0	73	91.3	0.7996	0	0
